seed,n,random_mean_percent,random_minus_deletion_pp
20260926,157,55.94055201698514,1.6326963906581744
20260927,157,60.7515923566879,6.443736730360934
20260928,157,58.73885350318472,4.4309978768577505
20260929,157,59.72611464968153,5.418259023354565
20260930,157,59.09129511677283,4.78343949044586
