sample_id	task	B_i	SB	Dynamic	Random	dynamic_gain	random_gain	dynamic_minus_random	random_winner_source	random_winner_trajectory	random_winner_switches	dynamic_winner_switches
ruler_qa_hotpotqa_16k:0118	ruler_qa_hotpotqa_16k	354	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L6"", ""L12"", ""L0"", ""L6"", ""L6"", ""L6"", ""ALL"", ""L0"", ""L18"", ""L18"", ""L12"", ""OFF"", ""L18"", ""L12""]"	10	1
ruler_qa_hotpotqa_16k:0140	ruler_qa_hotpotqa_16k	330	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L12"", ""ALL"", ""L6"", ""ALL"", ""L0"", ""L18"", ""L18"", ""ALL"", ""ALL"", ""ALL"", ""L18"", ""OFF"", ""L6""]"	9	1
ruler_qa_hotpotqa_16k:0191	ruler_qa_hotpotqa_16k	330	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L24"", ""L18"", ""ALL"", ""OFF"", ""L12"", ""L0"", ""L18"", ""OFF"", ""OFF"", ""L0"", ""L12"", ""L18"", ""OFF""]"	11	3
ruler_qa_hotpotqa_16k:0312	ruler_qa_hotpotqa_16k	354	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L12"", ""L12"", ""L0"", ""L12"", ""ALL"", ""OFF"", ""ALL"", ""L24"", ""ALL"", ""L18"", ""L24"", ""ALL"", ""L12"", ""L0""]"	12	1
ruler_qa_hotpotqa_16k:0337	ruler_qa_hotpotqa_16k	354	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L0"", ""L0"", ""OFF"", ""L18"", ""L6"", ""ALL"", ""ALL"", ""L12"", ""L18"", ""ALL"", ""L24"", ""L18"", ""L12"", ""ALL""]"	11	1
ruler_qa_hotpotqa_16k:0348	ruler_qa_hotpotqa_16k	354	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L0"", ""L18"", ""L0"", ""L12"", ""L0"", ""L18"", ""L12"", ""OFF"", ""L6"", ""L12"", ""L18"", ""L0"", ""ALL"", ""L24""]"	13	1
ruler_qa_hotpotqa_16k:0364	ruler_qa_hotpotqa_16k	378	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""OFF"", ""L18"", ""L12"", ""L0"", ""L24"", ""L18"", ""L0"", ""ALL"", ""L0"", ""L24"", ""L18"", ""L0"", ""OFF"", ""OFF"", ""L0""]"	13	2
ruler_qa_hotpotqa_16k:0454	ruler_qa_hotpotqa_16k	378	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""ALL"", ""OFF"", ""OFF"", ""L0"", ""L0"", ""L12"", ""L18"", ""L24"", ""L0"", ""L24"", ""L12"", ""ALL"", ""L12"", ""L0"", ""L0""]"	11	2
ruler_qa_hotpotqa_16k:0493	ruler_qa_hotpotqa_16k	378	0.0	1.0	1.0	1.0	1.0	0.0	random	"[""L24"", ""L18"", ""OFF"", ""L12"", ""L24"", ""ALL"", ""OFF"", ""ALL"", ""ALL"", ""L0"", ""L6"", ""L6"", ""L0"", ""OFF"", ""L0""]"	12	1
ruler_qa_squad_16k:0033	ruler_qa_squad_16k	354	0.0	1.0	0.0	1.0	0.0	1.0	shared_constant	"[""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]"	0	2
