set,scope,n,joint_any_n,modal_overlap_n,reverse_all_positive_n,early,early_ci_low,early_ci_high,late,late_ci_low,late_ci_high,joint,joint_ci_low,joint_ci_high,joint_odd_split,joint_odd_split_ci_low,joint_odd_split_ci_high,reverse_mean_delta,reverse_mean_delta_ci_low,reverse_mean_delta_ci_high,reverse_positive_fraction,reverse_positive_fraction_ci_low,reverse_positive_fraction_ci_high,reverse_equal_fraction,reverse_equal_fraction_ci_low,reverse_equal_fraction_ci_high,tau_mean_norm,tau_mean_norm_ci_low,tau_mean_norm_ci_high,distance_first_mean_norm,distance_first_mean_norm_ci_low,distance_first_mean_norm_ci_high,distance_last_mean_norm,distance_last_mean_norm_ci_low,distance_last_mean_norm_ci_high
best,all,170,5,165,100,0.1545034792512916,0.13181049714636103,0.17845362079753857,0.21831919890495413,0.18819892488086587,0.2506588952974806,0.00207749766573296,0.00028011204481792715,0.004388713818860879,0.0019374416433239963,0.00014005602240896358,0.004225023342670401,0.4558898822615685,0.4221237072109821,0.4870834159091273,0.8657678583332612,0.8254749801635565,0.9050270304653908,0.13423214166673877,0.0949729695346095,0.1745250198364435,0.4510149826010276,0.4320480563495329,0.47086495696463143,0.37772496238675957,0.35820564673399735,0.3977717859583949,0.3068661046775596,0.2884550171802451,0.32640661729954207
best,native_multi,78,4,74,54,0.15384793626264745,0.11992294727091622,0.1935207750099715,0.182530834981956,0.13752610599779325,0.2315760164095958,0.002747252747252747,0.00030525030525030525,0.006181318681318681,0.002442002442002442,0.0,0.005876068376068376,0.435781657392222,0.370623359154122,0.49691947823449034,0.7953400618391714,0.7134410245719032,0.8725983262745337,0.20465993816082864,0.1274016737254662,0.2865589754280968,0.49675171603558316,0.46781399366147164,0.5264407336247989,0.42515877905803096,0.3959371038709532,0.4549870105004234,0.27072280712772334,0.2421045104313904,0.2998898911300643
best,native_multi_matched,62,2,59,54,0.15308986212828998,0.11246937023921923,0.19933252109420047,0.1928416572297827,0.13900604495162203,0.2530021173715407,0.0026881720430107525,0.0,0.006720430107526882,0.0026881720430107525,0.0,0.006720430107526882,0.5432828648957035,0.516016595599894,0.5711905626289018,0.9860081073037329,0.9759837972489465,0.994554068245379,0.013991892696267064,0.005445931754620996,0.02401620275105349,0.4955650398806706,0.4616691615613919,0.5307107395828495,0.42512311621294047,0.39021677348226025,0.4610273963915546,0.267223119704073,0.23422789315982187,0.30202451549776754
best,native_unmatched,16,2,15,0,0.15678547353328268,0.14285714285714285,0.1746426163904255,0.1425763987716276,0.13937024513947588,0.14550180831826398,0.002976190476190476,0.0,0.005952380952380952,0.001488095238095238,0.0,0.002976190476190476,0.019214478316230993,0.0,0.050871283049958804,0.05650138566399521,0.0,0.13564339749831472,0.9434986143360048,0.8643566025016853,1.0,0.50135008613587,0.49802215189873417,0.5060281065088758,0.4252969725827564,0.4161035957713173,0.4344903493941955,0.28428409589436854,0.26305965421709093,0.30846776202335485
match,all,154,3,150,100,0.15426638893627956,0.1286271172681192,0.18094859811777841,0.22618858073698797,0.1946916253978267,0.2603727275005886,0.0019841269841269845,0.0,0.004509379509379508,0.0019841269841269845,0.0,0.004509379509379508,0.5012587553987463,0.4835892568219956,0.5186754547376798,0.949847491857341,0.9356624478056683,0.9634509519845025,0.05015250814265919,0.03654904801549741,0.06433755219433164,0.44578536145455055,0.42431956238885515,0.46653019253609174,0.37278241587288974,0.35094598743137884,0.3933402148582134,0.3092122874082808,0.28774560472099237,0.33014204047295737
match,native_multi,62,2,59,54,0.15308986212828998,0.11246937023921923,0.19933252109420047,0.1928416572297827,0.13900604495162203,0.2530021173715407,0.0026881720430107525,0.0,0.006720430107526882,0.0026881720430107525,0.0,0.006720430107526882,0.5432828648957035,0.516016595599894,0.5711905626289018,0.9860081073037329,0.9759837972489465,0.994554068245379,0.013991892696267064,0.005445931754620996,0.02401620275105349,0.4955650398806706,0.4616691615613919,0.5307107395828495,0.42512311621294047,0.39021677348226025,0.4610273963915546,0.267223119704073,0.23422789315982187,0.30202451549776754
match,native_multi_matched,62,2,59,54,0.15308986212828998,0.11246937023921923,0.19933252109420047,0.1928416572297827,0.13900604495162203,0.2530021173715407,0.0026881720430107525,0.0,0.006720430107526882,0.0026881720430107525,0.0,0.006720430107526882,0.5432828648957035,0.516016595599894,0.5711905626289018,0.9860081073037329,0.9759837972489465,0.994554068245379,0.013991892696267064,0.005445931754620996,0.02401620275105349,0.4955650398806706,0.4616691615613919,0.5307107395828495,0.42512311621294047,0.39021677348226025,0.4610273963915546,0.267223119704073,0.23422789315982187,0.30202451549776754
