set,task,n,type,observed_mass,observed_fraction,expected_mass,enrichment
match,ruler_niah_multikey_2_16k,4,ALL_to_OFF,0.15941465941465943,0.03985366485366486,0.0,
match,ruler_niah_multikey_2_16k,4,ALL_to_layer,0.7364334538247581,0.18410836345618953,1.259259259259259,0.5848148015667197
match,ruler_niah_multikey_2_16k,4,OFF_to_ALL,0.05976430976430976,0.01494107744107744,0.0,
match,ruler_niah_multikey_2_16k,4,OFF_to_layer,0.1866068713894801,0.046651717847370024,0.0,
match,ruler_niah_multikey_2_16k,4,deep_to_shallow,0.6101032622771753,0.15252581556929382,0.7407407407407407,0.8236394040741867
match,ruler_niah_multikey_2_16k,4,layer_to_ALL,0.36001036001036,0.09000259000259,1.259259259259259,0.2858905800082271
match,ruler_niah_multikey_2_16k,4,layer_to_OFF,0.35660675878067183,0.08915168969516796,0.0,
match,ruler_niah_multikey_2_16k,4,shallow_to_deep,1.5310603245385852,0.3827650811346463,0.7407407407407407,2.06693143812709
match,ruler_niah_multikey_3_16k,12,ALL_to_OFF,0.9901873264811862,0.08251561054009886,0.0,
match,ruler_niah_multikey_3_16k,12,ALL_to_layer,4.063192166618185,0.3385993472181821,2.7600000000000002,1.472171074861661
match,ruler_niah_multikey_3_16k,12,OFF_to_ALL,0.2948095723315022,0.024567464360958514,0.0,
match,ruler_niah_multikey_3_16k,12,OFF_to_layer,0.598628860044782,0.049885738337065166,0.8786440677966101,0.6813098522886215
match,ruler_niah_multikey_3_16k,12,deep_to_shallow,1.6994387631138708,0.1416198969261559,2.36135593220339,0.7196876760243925
match,ruler_niah_multikey_3_16k,12,layer_to_ALL,1.710413155888578,0.1425344296573815,2.7600000000000002,0.6197149115538325
match,ruler_niah_multikey_3_16k,12,layer_to_OFF,0.5417091164318903,0.045142426369324196,0.8786440677966101,0.6165285082847518
match,ruler_niah_multikey_3_16k,12,shallow_to_deep,2.101621039090006,0.17513508659083385,2.36135593220339,0.8900060386614294
match,ruler_niah_multiquery_16k,11,ALL_to_OFF,0.07858995223540931,0.007144541112309937,0.5,0.15717990447081862
match,ruler_niah_multiquery_16k,11,ALL_to_layer,0.858997061206008,0.07809064192781891,1.5,0.572664707470672
match,ruler_niah_multiquery_16k,11,OFF_to_ALL,0.7435011709601874,0.06759101554183522,0.5,1.4870023419203748
match,ruler_niah_multiquery_16k,11,OFF_to_layer,0.8526231933914623,0.07751119939922385,0.0,
match,ruler_niah_multiquery_16k,11,deep_to_shallow,3.2859164656261077,0.29871967869328253,3.5000000000000004,0.9388332758931736
match,ruler_niah_multiquery_16k,11,layer_to_ALL,2.0961750471544858,0.19056136792313508,1.5,1.3974500314363238
match,ruler_niah_multiquery_16k,11,layer_to_OFF,0.7912988028714619,0.07193625480649654,0.0,
match,ruler_niah_multiquery_16k,11,shallow_to_deep,2.2928983065548776,0.20844530059589797,3.5000000000000004,0.6551138018728221
match,ruler_niah_multivalue_16k,8,ALL_to_OFF,0.4413892400618064,0.0551736550077258,0.0,
match,ruler_niah_multivalue_16k,8,ALL_to_layer,1.5162603677678794,0.18953254597098493,0.7592592592592593,1.9970258502308655
match,ruler_niah_multivalue_16k,8,OFF_to_ALL,0.22922926528092202,0.028653658160115253,0.0,
match,ruler_niah_multivalue_16k,8,OFF_to_layer,0.3051855989703283,0.03814819987129104,0.5,0.6103711979406566
match,ruler_niah_multivalue_16k,8,deep_to_shallow,1.7339183220794663,0.21673979025993328,2.7407407407407405,0.6326458742722377
match,ruler_niah_multivalue_16k,8,layer_to_ALL,0.8999389122459713,0.11249236403074642,0.7592592592592593,1.185285396616645
match,ruler_niah_multivalue_16k,8,layer_to_OFF,0.45064607650016175,0.05633075956252022,0.5,0.9012921530003235
match,ruler_niah_multivalue_16k,8,shallow_to_deep,2.4234322170934646,0.30292902713668307,2.7407407407407405,0.8842252683989669
match,ruler_qa_hotpotqa_16k,12,ALL_to_OFF,0.4201334246468885,0.035011118720574046,0.07017543859649124,5.98690130121816
match,ruler_qa_hotpotqa_16k,12,ALL_to_layer,1.631015037593985,0.13591791979949874,1.6108771929824561,1.012501166879298
match,ruler_qa_hotpotqa_16k,12,OFF_to_ALL,0.4719915097822074,0.03933262581518395,0.07017543859649124,6.725879014396455
match,ruler_qa_hotpotqa_16k,12,OFF_to_layer,0.9813584348468071,0.08177986957056725,0.803859649122807,1.2208081795344392
match,ruler_qa_hotpotqa_16k,12,deep_to_shallow,3.013813360921684,0.25115111341014035,3.515087719298246,0.8573934995634656
match,ruler_qa_hotpotqa_16k,12,layer_to_ALL,1.8421448485554972,0.1535120707129581,1.6108771929824561,1.1435662858599798
match,ruler_qa_hotpotqa_16k,12,layer_to_OFF,0.87124983000136,0.07260415250011333,0.803859649122807,1.0838332673521938
match,ruler_qa_hotpotqa_16k,12,shallow_to_deep,2.7682935536515707,0.23069112947096423,3.515087719298246,0.787546079846973
match,ruler_qa_squad_16k,15,ALL_to_OFF,0.628466854782644,0.04189779031884293,0.5,1.256933709565288
match,ruler_qa_squad_16k,15,ALL_to_layer,2.6145281034754717,0.17430187356503143,3.17991718426501,0.8222000611880025
