set,task,n,A,B,observed_mass,observed_fraction,expected_mass,enrichment
match,ruler_niah_multikey_1_16k,1,L24,L6,0,0.0,0.0,
match,ruler_niah_multikey_1_16k,1,L24,L12,0,0.0,0.0,
match,ruler_niah_multikey_1_16k,1,L24,L18,0,0.0,0.0,
match,ruler_niah_multikey_1_16k,1,L24,ALL,0,0.0,0.0,
match,ruler_niah_multikey_1_16k,1,ALL,OFF,0,0.0,0.0,
match,ruler_niah_multikey_1_16k,1,ALL,L0,0,0.0,0.0,
match,ruler_niah_multikey_1_16k,1,ALL,L6,0,0.0,0.0,
match,ruler_niah_multikey_1_16k,1,ALL,L12,0,0.0,0.0,
match,ruler_niah_multikey_1_16k,1,ALL,L18,0,0.0,0.0,
match,ruler_niah_multikey_1_16k,1,ALL,L24,0,0.0,0.0,
match,ruler_niah_multikey_2_16k,4,OFF,L0,0.16387959866220736,0.04096989966555184,0.0,
match,ruler_niah_multikey_2_16k,4,OFF,L6,0,0.0,0.0,
match,ruler_niah_multikey_2_16k,4,OFF,L12,0.022727272727272728,0.005681818181818182,0.0,
match,ruler_niah_multikey_2_16k,4,OFF,L18,0,0.0,0.0,
match,ruler_niah_multikey_2_16k,4,OFF,L24,0,0.0,0.0,
match,ruler_niah_multikey_2_16k,4,OFF,ALL,0.05976430976430976,0.01494107744107744,0.0,
match,ruler_niah_multikey_2_16k,4,L0,OFF,0.2656976678715809,0.06642441696789522,0.0,
match,ruler_niah_multikey_2_16k,4,L0,L6,0.3347550195376282,0.08368875488440705,0.0,
match,ruler_niah_multikey_2_16k,4,L0,L12,0.52799454973368,0.13199863743342,0.0,
match,ruler_niah_multikey_2_16k,4,L0,L18,0.24154589371980675,0.06038647342995169,0.0,
match,ruler_niah_multikey_2_16k,4,L0,L24,0.2222194070020157,0.055554851750503925,0.7407407407407407,0.2999961994527212
match,ruler_niah_multikey_2_16k,4,L0,ALL,0.07407407407407407,0.018518518518518517,0.24074074074074073,0.3076923076923077
match,ruler_niah_multikey_2_16k,4,L6,OFF,0,0.0,0.0,
match,ruler_niah_multikey_2_16k,4,L6,L0,0.037037037037037035,0.009259259259259259,0.0,
match,ruler_niah_multikey_2_16k,4,L6,L12,0.06818181818181818,0.017045454545454544,0.0,
match,ruler_niah_multikey_2_16k,4,L6,L18,0.022727272727272728,0.005681818181818182,0.0,
match,ruler_niah_multikey_2_16k,4,L6,L24,0,0.0,0.0,
match,ruler_niah_multikey_2_16k,4,L6,ALL,0.022727272727272728,0.005681818181818182,0.0,
match,ruler_niah_multikey_2_16k,4,L12,OFF,0,0.0,0.0,
match,ruler_niah_multikey_2_16k,4,L12,L0,0.11396011396011396,0.02849002849002849,0.0,
match,ruler_niah_multikey_2_16k,4,L12,L6,0,0.0,0.0,
match,ruler_niah_multikey_2_16k,4,L12,L18,0.045454545454545456,0.011363636363636364,0.0,
match,ruler_niah_multikey_2_16k,4,L12,L24,0.022727272727272728,0.005681818181818182,0.0,
match,ruler_niah_multikey_2_16k,4,L12,ALL,0.08249158249158249,0.020622895622895623,0.5,0.16498316498316498
match,ruler_niah_multikey_2_16k,4,L18,OFF,0.09090909090909091,0.022727272727272728,0.0,
match,ruler_niah_multikey_2_16k,4,L18,L0,0.22506840985101856,0.05626710246275464,0.0,
match,ruler_niah_multikey_2_16k,4,L18,L6,0.043478260869565216,0.010869565217391304,0.0,
match,ruler_niah_multikey_2_16k,4,L18,L12,0.045454545454545456,0.011363636363636364,0.0,
match,ruler_niah_multikey_2_16k,4,L18,L24,0.045454545454545456,0.011363636363636364,0.0,
match,ruler_niah_multikey_2_16k,4,L18,ALL,0.09822584822584823,0.02455646205646206,0.0,
match,ruler_niah_multikey_2_16k,4,L24,OFF,0,0.0,0.0,
match,ruler_niah_multikey_2_16k,4,L24,L0,0.07692307692307693,0.019230769230769232,0.7407407407407407,0.10384615384615385
match,ruler_niah_multikey_2_16k,4,L24,L6,0,0.0,0.0,
match,ruler_niah_multikey_2_16k,4,L24,L12,0.045454545454545456,0.011363636363636364,0.0,
match,ruler_niah_multikey_2_16k,4,L24,L18,0.022727272727272728,0.005681818181818182,0.0,
match,ruler_niah_multikey_2_16k,4,L24,ALL,0.08249158249158249,0.020622895622895623,0.5185185185185185,0.1590909090909091
match,ruler_niah_multikey_2_16k,4,ALL,OFF,0.15941465941465943,0.03985366485366486,0.0,
match,ruler_niah_multikey_2_16k,4,ALL,L0,0.1259698433611477,0.03149246084028692,0.24074074074074073,0.5232593493463058
match,ruler_niah_multikey_2_16k,4,ALL,L6,0.24333074333074337,0.06083268583268584,0.0,
match,ruler_niah_multikey_2_16k,4,ALL,L12,0.14510489510489513,0.03627622377622378,0.5,0.29020979020979026
match,ruler_niah_multikey_2_16k,4,ALL,L18,0.16083916083916086,0.040209790209790215,0.0,
match,ruler_niah_multikey_2_16k,4,ALL,L24,0.06118881118881119,0.015297202797202798,0.5185185185185185,0.11800699300699302
match,ruler_niah_multikey_3_16k,12,OFF,L0,0.3870298065059733,0.03225248387549778,0.32474576271186445,1.1917932455037799
match,ruler_niah_multikey_3_16k,12,OFF,L6,0.009259259259259259,0.0007716049382716049,0.5,0.018518518518518517
match,ruler_niah_multikey_3_16k,12,OFF,L12,0.11197236627557713,0.00933103052296476,0.008474576271186446,13.212739220518094
match,ruler_niah_multikey_3_16k,12,OFF,L18,0.03773584905660377,0.003144654088050314,0.008474576271186446,4.4528301886792425
match,ruler_niah_multikey_3_16k,12,OFF,L24,0.05263157894736842,0.0043859649122807015,0.036949152542372896,1.4244326412361172
match,ruler_niah_multikey_3_16k,12,OFF,ALL,0.2948095723315022,0.024567464360958514,0.0,
match,ruler_niah_multikey_3_16k,12,L0,OFF,0.23444637537239324,0.019537197947699435,0.32474576271186445,0.7219382122636325
match,ruler_niah_multikey_3_16k,12,L0,L6,0.5535999616043475,0.04613333013369563,0.24074074074074073,2.2995690712795978
match,ruler_niah_multikey_3_16k,12,L0,L12,0.4035848248567547,0.03363206873806289,0.08474576271186444,4.762300933309703
match,ruler_niah_multikey_3_16k,12,L0,L18,0.4094002894441491,0.034116690787012426,0.08474576271186444,4.830923415440957
match,ruler_niah_multikey_3_16k,12,L0,L24,0.25759717053576703,0.021466430877980586,1.1502322661644695,0.22395230781930933
match,ruler_niah_multikey_3_16k,12,L0,ALL,0.13385315139701104,0.011154429283084253,0.5,0.2677063027940221
match,ruler_niah_multikey_3_16k,12,L6,OFF,0.08516924736719506,0.007097437280599588,0.5,0.1703384947343901
match,ruler_niah_multikey_3_16k,12,L6,L0,0.31170242644919904,0.02597520220409992,0.24074074074074073,1.2947639252505192
match,ruler_niah_multikey_3_16k,12,L6,L12,0.05899138131842534,0.004915948443202111,0.0,
match,ruler_niah_multikey_3_16k,12,L6,L18,0.07556058209815243,0.006296715174846036,0.0,
match,ruler_niah_multikey_3_16k,12,L6,L24,0.05527970870572658,0.004606642392143882,0.018518518518518517,2.985104270109235
match,ruler_niah_multikey_3_16k,12,L6,ALL,0.46944385931476307,0.03912032160956359,1.5,0.3129625728765087
match,ruler_niah_multikey_3_16k,12,L12,OFF,0.13040200080915076,0.010866833400762563,0.008474576271186446,15.387436095479782
match,ruler_niah_multikey_3_16k,12,L12,L0,0.43367550881205297,0.036139625734337745,0.08474576271186444,5.117371003982223
match,ruler_niah_multikey_3_16k,12,L12,L6,0.04973212205916608,0.004144343504930506,0.0,
match,ruler_niah_multikey_3_16k,12,L12,L18,0.08438155136268344,0.007031795946890286,0.008474576271186446,9.95702306079664
match,ruler_niah_multikey_3_16k,12,L12,L24,0.1277538710507926,0.010646155920899384,0.25694915254237294,0.4971951445908155
match,ruler_niah_multikey_3_16k,12,L12,ALL,0.6189031507282915,0.051575262560690956,0.24000000000000002,2.5787631280345478
match,ruler_niah_multikey_3_16k,12,L18,OFF,0.05660377358490566,0.0047169811320754715,0.008474576271186446,6.679245283018864
match,ruler_niah_multikey_3_16k,12,L18,L0,0.29105544298775016,0.02425462024897918,0.08474576271186444,3.43445422725545
match,ruler_niah_multikey_3_16k,12,L18,L6,0.04875746318977037,0.004063121932480864,0.0,
match,ruler_niah_multikey_3_16k,12,L18,L12,0.10227481702158961,0.008522901418465801,0.008474576271186446,12.068428408547566
match,ruler_niah_multikey_3_16k,12,L18,L24,0.07547169811320754,0.006289308176100628,0.5169491525423728,0.14599443241571297
match,ruler_niah_multikey_3_16k,12,L18,ALL,0.27968553041169725,0.023307127534308105,0.5,0.5593710608233945
match,ruler_niah_multikey_3_16k,12,L24,OFF,0.03508771929824561,0.0029239766081871343,0.036949152542372896,0.9496217608240781
match,ruler_niah_multikey_3_16k,12,L24,L0,0.35061802232854866,0.029218168527379056,1.1502322661644695,0.3048236713943951
match,ruler_niah_multikey_3_16k,12,L24,L6,0.026803118908382065,0.002233593242365172,0.018518518518518517,1.4473684210526316
match,ruler_niah_multikey_3_16k,12,L24,L12,0.06595191682910981,0.005495993069092484,0.25694915254237294,0.2566730272373006
match,ruler_niah_multikey_3_16k,12,L24,L18,0.018867924528301886,0.001572327044025157,0.5169491525423728,0.03649860810392824
match,ruler_niah_multikey_3_16k,12,L24,ALL,0.20852746403681524,0.017377288669734602,0.020000000000000004,10.42637320184076
match,ruler_niah_multikey_3_16k,12,ALL,OFF,0.9901873264811862,0.08251561054009886,0.0,
match,ruler_niah_multikey_3_16k,12,ALL,L0,0.6141487979207277,0.05117906649339398,0.5,1.2282975958414555
match,ruler_niah_multikey_3_16k,12,ALL,L6,0.4045007199881414,0.03370839333234512,1.5,0.26966714665876096
match,ruler_niah_multikey_3_16k,12,ALL,L12,0.43580948372615036,0.0363174569771792,0.24000000000000002,1.8158728488589597
match,ruler_niah_multikey_3_16k,12,ALL,L18,1.7547839506172842,0.14623199588477367,0.5,3.5095679012345684
match,ruler_niah_multikey_3_16k,12,ALL,L24,0.8539492143658811,0.07116243453049009,0.020000000000000004,42.697460718294046
match,ruler_niah_multiquery_16k,11,OFF,L0,0.17312348668280872,0.015738498789346248,0.0,
match,ruler_niah_multiquery_16k,11,OFF,L6,0.14814814814814814,0.013468013468013467,0.0,
match,ruler_niah_multiquery_16k,11,OFF,L12,0.22391636565712694,0.020356033241556996,0.0,
match,ruler_niah_multiquery_16k,11,OFF,L18,0.2741018595700452,0.024918350870004106,0.0,
match,ruler_niah_multiquery_16k,11,OFF,L24,0.03333333333333333,0.0030303030303030303,0.0,
match,ruler_niah_multiquery_16k,11,OFF,ALL,0.7435011709601874,0.06759101554183522,0.5,1.4870023419203748
match,ruler_niah_multiquery_16k,11,L0,OFF,0.1978489027669355,0.01798626388790323,0.0,
match,ruler_niah_multiquery_16k,11,L0,L6,0.15001852366398072,0.013638047605816429,0.5,0.30003704732796144
match,ruler_niah_multiquery_16k,11,L0,L12,0.18942725124997978,0.017220659204543617,0.08771929824561406,2.1594706642497687
match,ruler_niah_multiquery_16k,11,L0,L18,0.7872755659640902,0.07157050599673548,0.9210526315789476,0.854756328761012
match,ruler_niah_multiquery_16k,11,L0,L24,0.20658773527625982,0.01878070320693271,0.9035087719298246,0.22865050312129725
match,ruler_niah_multiquery_16k,11,L0,ALL,0.4842505854800937,0.044022780498190334,0.0,
match,ruler_niah_multiquery_16k,11,L6,OFF,0.01639344262295082,0.0014903129657228018,0.0,
match,ruler_niah_multiquery_16k,11,L6,L0,0.49572459869070046,0.045065872608245496,0.5,0.9914491973814009
match,ruler_niah_multiquery_16k,11,L6,L12,0.24973603778827452,0.02270327616257041,0.0,
match,ruler_niah_multiquery_16k,11,L6,L18,0.2267028172140703,0.020609347019460936,0.0,
match,ruler_niah_multiquery_16k,11,L6,L24,0.062196509612458484,0.005654228146587135,0.5,0.12439301922491697
match,ruler_niah_multiquery_16k,11,L6,ALL,0.5779372503531992,0.05253975003210902,1.0,0.5779372503531992
match,ruler_niah_multiquery_16k,11,L12,OFF,0.16696767620635358,0.015178879655123052,0.0,
match,ruler_niah_multiquery_16k,11,L12,L0,0.6455205811138012,0.05868368919216374,0.08771929824561406,7.358934624697332
match,ruler_niah_multiquery_16k,11,L12,L6,0.32474529962026494,0.02952229996547863,0.0,
match,ruler_niah_multiquery_16k,11,L12,L18,0.0333425951653237,0.0030311450150294276,0.026315789473684223,1.2670186162823
match,ruler_niah_multiquery_16k,11,L12,L24,0.23362508104102994,0.02123864373100272,0.5087719298245614,0.45919412480478294
match,ruler_niah_multiquery_16k,11,L12,ALL,0.5369047619047618,0.048809523809523796,0.0,
match,ruler_niah_multiquery_16k,11,L18,OFF,0.37619047619047613,0.034199134199134194,0.0,
match,ruler_niah_multiquery_16k,11,L18,L0,0.8450971463266546,0.07682701330242314,0.9210526315789476,0.9175340445832247
match,ruler_niah_multiquery_16k,11,L18,L6,0.07037037037037036,0.006397306397306396,0.0,
match,ruler_niah_multiquery_16k,11,L18,L12,0.05398618957940991,0.004907835416309992,0.026315789473684223,2.0514752040175757
match,ruler_niah_multiquery_16k,11,L18,L24,0.1539861895794099,0.013998744507219081,0.05263157894736843,2.9257376020087875
match,ruler_niah_multiquery_16k,11,L18,ALL,0.28727556596409065,0.02611596054219006,0.5,0.5745511319281813
match,ruler_niah_multiquery_16k,11,L24,OFF,0.03389830508474576,0.0030816640986132513,0.0,
match,ruler_niah_multiquery_16k,11,L24,L0,0.24959644874899117,0.022690586249908287,0.9035087719298246,0.27625238016878634
match,ruler_niah_multiquery_16k,11,L24,L6,0.1824259310713881,0.016584175551944372,0.5,0.3648518621427762
match,ruler_niah_multiquery_16k,11,L24,L12,0.28454233318779026,0.02586748483525366,0.5087719298245614,0.559272861782898
match,ruler_niah_multiquery_16k,11,L24,L18,0.1339075669167361,0.012173415174248737,0.05263157894736843,2.5442437714179857
match,ruler_niah_multiquery_16k,11,L24,ALL,0.2098068834523405,0.019073353041121864,0.0,
match,ruler_niah_multiquery_16k,11,ALL,OFF,0.07858995223540931,0.007144541112309937,0.5,0.15717990447081862
match,ruler_niah_multiquery_16k,11,ALL,L0,0.12066211807806695,0.01096928346164245,0.0,
match,ruler_niah_multiquery_16k,11,ALL,L6,0.132796147077892,0.012072377007081091,1.0,0.132796147077892
match,ruler_niah_multiquery_16k,11,ALL,L12,0.1738008500303582,0.015800077275487108,0.0,
match,ruler_niah_multiquery_16k,11,ALL,L18,0.2153445033967401,0.019576773036067283,0.5,0.4306890067934802
match,ruler_niah_multiquery_16k,11,ALL,L24,0.2163934426229508,0.019672131147540982,0.0,
match,ruler_niah_multivalue_16k,8,OFF,L0,0.05386992555134148,0.006733740693917685,0.0,
match,ruler_niah_multivalue_16k,8,OFF,L6,0.10444699248979965,0.013055874061224956,0.0,
match,ruler_niah_multivalue_16k,8,OFF,L12,0.03653015023667421,0.0045662687795842765,0.0,
match,ruler_niah_multivalue_16k,8,OFF,L18,0.07676639977524932,0.009595799971906165,0.0,
match,ruler_niah_multivalue_16k,8,OFF,L24,0.03357213091726366,0.0041965163646579574,0.5,0.06714426183452732
match,ruler_niah_multivalue_16k,8,OFF,ALL,0.22922926528092202,0.028653658160115253,0.0,
match,ruler_niah_multivalue_16k,8,L0,OFF,0.06012080348363534,0.007515100435454418,0.0,
match,ruler_niah_multivalue_16k,8,L0,L6,0.07156904059558927,0.008946130074448659,0.018518518518518517,3.864728192161821
match,ruler_niah_multivalue_16k,8,L0,L12,0.5998044865198601,0.07497556081498251,0.24074074074074073,2.491495559390188
match,ruler_niah_multivalue_16k,8,L0,L18,0.38902935805590677,0.048628669756988346,0.15789473684210528,2.4638526010207427
match,ruler_niah_multivalue_16k,8,L0,L24,0.1195474279442174,0.014943428493027175,0.8157894736842106,0.14654200844775034
match,ruler_niah_multivalue_16k,8,L0,ALL,0.045020368029217585,0.005627546003652198,0.0,
match,ruler_niah_multivalue_16k,8,L6,OFF,0.0874665569047129,0.010933319613089113,0.0,
match,ruler_niah_multivalue_16k,8,L6,L0,0.2088576426660394,0.026107205333254925,0.018518518518518517,11.278312703966128
match,ruler_niah_multivalue_16k,8,L6,L12,0.5958959319475887,0.07448699149344859,0.9814814814814814,0.6071392514182979
match,ruler_niah_multivalue_16k,8,L6,L18,0.18006963023941824,0.02250870377992728,0.5,0.3601392604788365
match,ruler_niah_multivalue_16k,8,L6,L24,0.10776435153879073,0.013470543942348841,0.0,
match,ruler_niah_multivalue_16k,8,L6,ALL,0.1653181626632954,0.020664770332911926,0.018518518518518517,8.927180783817953
match,ruler_niah_multivalue_16k,8,L12,OFF,0.1676604860233179,0.020957560752914738,0.0,
match,ruler_niah_multivalue_16k,8,L12,L0,0.09242168843938756,0.011552711054923444,0.24074074074074073,0.38390547505591754
match,ruler_niah_multivalue_16k,8,L12,L6,0.6245270599149999,0.07806588248937499,0.9814814814814814,0.6363105893473584
match,ruler_niah_multivalue_16k,8,L12,L18,0.15959045071002265,0.01994880633875283,0.0,
match,ruler_niah_multivalue_16k,8,L12,L24,0.06454558224469728,0.00806819778058716,0.0,
match,ruler_niah_multivalue_16k,8,L12,ALL,0.23855984803196162,0.029819981003995202,0.24074074074074073,0.9909409072096867
match,ruler_niah_multivalue_16k,8,L18,OFF,0.12212389380530973,0.015265486725663717,0.0,
match,ruler_niah_multivalue_16k,8,L18,L0,0.3082947043124034,0.038536838039050426,0.15789473684210528,1.952533127311888
match,ruler_niah_multivalue_16k,8,L18,L6,0.04355360858756619,0.005444201073445774,0.5,0.08710721717513238
