metric,within_task_centered_rank_correlation,n
switch_count,-0.037897447842605375,170
distinct_actions,-0.053039887864181026,170
entropy,0.01874122981439786,170
first_switch_norm,0.23016259007354486,170
last_switch_norm,0.045480207822319936,170
max_run_fraction,-0.0454808789633552,170
