task,improved_n,matching_n,mean_gain,mean_native_switches,mean_recovery,exact_match_rate,matching_tau_mean_norm,longest_matching_plateau_n_mean_all_improved,dominant_matching_transition_type,dominant_type_mass_fraction
ruler_fwe_16k,21,20,0.3333333333333333,2.7142857142857144,0.9523809523809523,0.9523809523809523,0.49971987946693835,1.1904761904761905,"[""shallow_to_deep""]",0.25189034603740484
ruler_niah_multikey_1_16k,1,1,1.0,1.0,1.0,1.0,0.06666666666666667,1.0,"[""shallow_to_deep""]",1.0
ruler_niah_multikey_2_16k,4,4,1.0,1.25,1.0,1.0,0.462863491848999,2.75,"[""shallow_to_deep""]",0.3827650811346463
ruler_niah_multikey_3_16k,16,12,1.0,2.8125,0.75,0.75,0.38186293101202967,1.6875,"[""ALL_to_layer""]",0.3385993472181821
ruler_niah_multiquery_16k,12,11,0.2708333333333333,1.75,0.9166666666666666,0.9166666666666666,0.4336303634928252,2.9166666666666665,"[""deep_to_shallow""]",0.29871967869328253
ruler_niah_multivalue_16k,8,8,0.28125,1.75,1.0,1.0,0.4106951910271781,3.0,"[""shallow_to_deep""]",0.30292902713668307
ruler_qa_hotpotqa_16k,14,12,1.0,2.0,0.8571428571428571,0.8571428571428571,0.37668656351298635,2.2142857142857144,"[""deep_to_shallow""]",0.25115111341014035
ruler_qa_squad_16k,17,15,1.0,2.1176470588235294,0.8823529411764706,0.8823529411764706,0.4197403459113986,2.1176470588235294,"[""deep_to_shallow""]",0.3137403765824819
ruler_vt_16k,77,71,0.33506493506493495,2.1818181818181817,0.922077922077922,0.922077922077922,0.4687920111406998,1.9350649350649352,"[""shallow_to_deep""]",0.24776328032549053
