sample_id,task,T,sample_best,native,gain,switch_count,distinct_actions,longest_run,mean_run_length,max_run_fraction,entropy,return_count,aba_n,first_switch_norm,last_switch_norm,r2_score,r2_recovery,at_most_one_switch_recovery,r2_match,r2_match_n,r2_best_n,r2_matching_pair_n,r2_max_plateau_n,r2_coverage,best_A,best_B,best_tau,best_tau_norm,best_mean_distance_first_norm,best_mean_distance_last_norm,available_reverse_pairs,available_reverse_mean_abs_delta,available_reverse_unequal_fraction,best_reverse_delta_if_observed,selected_best_prediction_match,any_matching_prediction_match,matching_prediction_fraction,trajectory
ruler_vt_16k:0008,ruler_vt_16k,15,0.4,0.8,0.4,2,3,13,5.0,0.8666666666666667,0.6998428398862386,0,0,0.06666666666666667,0.13333333333333333,0.8,1.0,1.0,True,1,1,1,1,1.0,ALL,L12,12,0.8,0.7333333333333333,0.6666666666666666,294,0.0292517006802721,0.14285714285714285,0.4,True,True,1.0,"[""L0"", ""ALL"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"
ruler_vt_16k:0024,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,4,4,11,3.0,0.7333333333333333,1.0389205950315936,1,1,0.06666666666666667,0.26666666666666666,1.0,1.0,1.0,True,4,4,4,1,1.0,L24,ALL,2,0.13333333333333333,0.15000000000000002,0.05,294,0.017687074829931978,0.08843537414965986,0.19999999999999996,True,True,1.0,"[""L24"", ""L18"", ""L0"", ""ALL"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]"
ruler_vt_16k:0044,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,True,14,14,10,3,1.0,OFF,L0,1,0.06666666666666667,0.47142857142857153,0.47142857142857153,294,0.024489795918367346,0.0782312925170068,0.0,True,True,1.0,"[""OFF"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]"
ruler_vt_16k:0045,ruler_vt_16k,15,0.2,0.8,0.6000000000000001,2,3,13,5.0,0.8666666666666667,0.6998428398862386,0,0,0.06666666666666667,0.13333333333333333,0.8,1.0,1.0,True,1,1,1,1,1.0,ALL,L18,6,0.4,0.3333333333333333,0.26666666666666666,294,0.0020408163265306124,0.003401360544217687,0.6000000000000001,True,True,1.0,"[""OFF"", ""L12"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]"
ruler_vt_16k:0048,ruler_vt_16k,15,0.2,0.4,0.2,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,0.4,1.0,1.0,True,20,20,11,3,1.0,L0,L12,1,0.06666666666666667,0.33333333333333337,0.33333333333333337,294,0.013605442176870751,0.06802721088435375,0.2,True,True,1.0,"[""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]"
ruler_vt_16k:0050,ruler_vt_16k,15,0.6,1.0,0.4,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,True,32,32,21,2,1.0,OFF,L0,1,0.06666666666666667,0.18958333333333333,0.18958333333333333,294,0.04081632653061224,0.10204081632653061,0.4,False,True,0.5,"[""L24"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]"
ruler_vt_16k:0057,ruler_vt_16k,15,0.4,0.8,0.4,5,3,8,2.5,0.5333333333333333,0.9055872616982603,3,3,0.06666666666666667,0.4666666666666667,0.8,1.0,1.0,True,7,7,5,2,1.0,L6,ALL,6,0.4,0.6190476190476192,0.23809523809523814,294,0.09863945578231292,0.46598639455782315,0.4,True,True,1.0,"[""L6"", ""L12"", ""L12"", ""ALL"", ""L12"", ""L12"", ""ALL"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]"
ruler_vt_16k:0063,ruler_vt_16k,15,0.8,1.0,0.19999999999999996,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,True,69,69,29,5,1.0,OFF,L0,1,0.06666666666666667,0.327536231884058,0.327536231884058,294,0.04421768707482992,0.22108843537414966,0.19999999999999996,True,True,1.0,"[""L24"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]"
ruler_vt_16k:0065,ruler_vt_16k,15,0.4,1.0,0.6,1,2,13,7.5,0.8666666666666667,0.5665095065529053,0,0,0.13333333333333333,0.13333333333333333,1.0,1.0,1.0,True,27,27,18,2,1.0,L18,L0,1,0.06666666666666667,0.3432098765432099,0.3432098765432099,294,0.10680272108843537,0.23469387755102042,0.6,True,True,1.0,"[""L24"", ""L24"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]"
ruler_vt_16k:0070,ruler_vt_16k,15,0.4,0.6,0.19999999999999996,1,2,14,7.5,0.9333333333333333,0.35335933502142136,0,0,0.06666666666666667,0.06666666666666667,0.6,1.0,1.0,True,19,19,15,2,1.0,L0,ALL,1,0.06666666666666667,0.40701754385964917,0.40701754385964917,294,0.06666666666666667,0.3163265306122449,0.19999999999999996,True,True,0.8947368421052632,"[""L24"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]"
