sample_id,task,improved,T,candidate_n,duplicate_sequence_n,observed_one_switch_n,full_R2_expected_n,R2_coverage,complete_R2,reverse_available_n
ruler_fwe_16k:0100,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0102,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0104,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0105,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0106,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0108,ruler_fwe_16k,True,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0110,ruler_fwe_16k,False,15,385,0,44,588,0.07482993197278912,False,0
ruler_fwe_16k:0111,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0114,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0116,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0117,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0118,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0119,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0120,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0123,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0125,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0126,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0127,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0132,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0133,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0135,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0136,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0137,ruler_fwe_16k,False,14,361,0,44,546,0.08058608058608059,False,0
ruler_fwe_16k:0138,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0139,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0140,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0142,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0143,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0144,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
ruler_fwe_16k:0146,ruler_fwe_16k,False,15,385,0,45,588,0.07653061224489796,False,0
