switch_count,n,mean_gain,r2_match_n
1,92,0.5010869565217392,92
2,25,0.6946666666666667,23
3,15,0.5733333333333331,14
4,18,0.41759259259259257,11
5,9,0.49444444444444446,8
6,7,0.6095238095238097,3
7,3,0.6,2
8,1,0.19999999999999996,1
