sample_id,task,T,samplebest_reward,native_reward,r2_reward,off_reward,native_switch_count,r2_switch_count,r2_A,r2_B,r2_tau,r2_tau_normalized,r2_minus_native,r2_minus_samplebest,candidate_count,winning_candidate_id,derived_label
ruler_fwe_16k:0010,ruler_fwe_16k,15,0.6666666666666666,1.0,1.0,0.6666666666666666,3,1,L0,L18,2,0.13333333333333333,0.0,0.33333333333333337,588,r2-0510-128-07c4ec0cdd1e,POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
ruler_fwe_16k:0017,ruler_fwe_16k,15,0.6666666666666666,1.0,1.0,0.6666666666666666,1,1,L18,OFF,1,0.06666666666666667,0.0,0.33333333333333337,588,r2-0517-337-523a9feb1ba3,POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
ruler_fwe_16k:0088,ruler_fwe_16k,15,0.6666666666666666,1.0,1.0,0.6666666666666666,4,1,L18,L0,10,0.6666666666666666,0.0,0.33333333333333337,588,r2-0588-360-637e749a5245,POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
ruler_fwe_16k:0108,ruler_fwe_16k,15,0.6666666666666666,1.0,1.0,0.6666666666666666,1,1,L6,L18,1,0.06666666666666667,0.0,0.33333333333333337,588,r2-0608-211-8ea5fab65e87,POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
ruler_fwe_16k:0218,ruler_fwe_16k,15,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1,1,L6,L0,1,0.06666666666666667,0.0,0.3333333333333333,588,r2-0718-183-a8725c6c130c,POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
ruler_fwe_16k:0227,ruler_fwe_16k,15,0.6666666666666666,1.0,1.0,0.6666666666666666,3,1,ALL,L12,2,0.13333333333333333,0.0,0.33333333333333337,588,r2-0727-548-866814b0f21d,POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
ruler_fwe_16k:0242,ruler_fwe_16k,15,0.6666666666666666,1.0,1.0,0.6666666666666666,5,1,L12,L18,3,0.2,0.0,0.33333333333333337,588,r2-0742-297-de0cea9fe4b2,POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
ruler_fwe_16k:0254,ruler_fwe_16k,14,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,2,1,L24,ALL,12,0.8571428571428571,0.0,0.3333333333333333,546,r2-0754-467-bc6edc402472,POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
ruler_fwe_16k:0256,ruler_fwe_16k,15,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,5,1,L6,L0,4,0.26666666666666666,0.0,0.3333333333333333,588,r2-0756-186-c66b66e7a845,POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
ruler_fwe_16k:0260,ruler_fwe_16k,15,0.6666666666666666,1.0,1.0,0.6666666666666666,3,1,L12,ALL,2,0.13333333333333333,0.0,0.33333333333333337,588,r2-0760-324-1e3eea7d54fd,POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
ruler_fwe_16k:0263,ruler_fwe_16k,15,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1,1,L12,L6,1,0.06666666666666667,0.0,0.3333333333333333,588,r2-0763-281-a6afbeab7d52,POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
ruler_fwe_16k:0293,ruler_fwe_16k,14,0.6666666666666666,1.0,1.0,0.6666666666666666,1,1,L18,ALL,1,0.07142857142857142,0.0,0.33333333333333337,546,r2-0793-378-764a96432604,POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
