task,n,sample_best_mean_percent,native_score_mean_percent,B1_mean_percent,B2_mean_percent,native_minus_B1_pp,native_minus_B2_pp,mean_recovery_B2
ruler_fwe_16k,21,61.904761904761884,95.23809523809523,62.85714285714285,64.44444444444443,32.380952380952394,30.7936507936508,0.07619047619047617
ruler_niah_multikey_1_16k,1,0.0,100.0,20.0,20.0,80.0,80.0,0.2
ruler_niah_multikey_2_16k,4,0.0,100.0,0.0,0.0,100.0,100.0,0.0
ruler_niah_multikey_3_16k,16,0.0,100.0,25.0,12.5,75.0,87.5,0.125
ruler_niah_multiquery_16k,12,72.91666666666666,100.0,75.0,78.33333333333333,25.0,21.666666666666668,0.1333333333333334
ruler_niah_multivalue_16k,8,71.875,100.0,76.875,76.25,23.125,23.75,0.17500000000000004
ruler_qa_hotpotqa_16k,14,0.0,100.0,14.285714285714285,12.85714285714286,85.71428571428571,87.14285714285714,0.1285714285714286
ruler_qa_squad_16k,17,0.0,100.0,12.941176470588237,10.588235294117647,87.05882352941177,89.41176470588235,0.10588235294117647
ruler_vt_16k,77,53.5064935064935,87.012987012987,55.8961038961039,58.493506493506494,31.116883116883116,28.51948051948052,0.1090909090909091
