sample_id,task,sample_best,native_score,B1,B2,native_minus_B1_pp,native_minus_B2_pp,B2_minus_sample_best_pp,recovery_B2
ruler_fwe_16k:0010,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.7333333333333332,33.333333333333336,26.666666666666682,6.666666666666654,0.1999999999999996
ruler_fwe_16k:0088,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.7333333333333333,33.333333333333336,26.66666666666667,6.666666666666665,0.19999999999999993
ruler_fwe_16k:0108,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,33.333333333333336,0.0,0.0
ruler_fwe_16k:0227,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,33.333333333333336,0.0,0.0
ruler_fwe_16k:0242,ruler_fwe_16k,0.6666666666666666,1.0,0.5333333333333333,0.5333333333333333,46.666666666666664,46.666666666666664,-13.33333333333333,-0.39999999999999986
ruler_fwe_16k:0254,ruler_fwe_16k,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,33.33333333333333,33.33333333333333,0.0,0.0
ruler_fwe_16k:0256,ruler_fwe_16k,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,33.33333333333333,33.33333333333333,0.0,0.0
ruler_fwe_16k:0260,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,33.333333333333336,0.0,0.0
ruler_fwe_16k:0293,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,33.333333333333336,0.0,0.0
ruler_fwe_16k:0298,ruler_fwe_16k,0.6666666666666666,1.0,0.7999999999999999,0.8666666666666666,20.000000000000007,13.333333333333341,19.999999999999996,0.5999999999999998
ruler_fwe_16k:0321,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,33.333333333333336,0.0,0.0
ruler_fwe_16k:0324,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,33.333333333333336,0.0,0.0
ruler_fwe_16k:0351,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,33.333333333333336,0.0,0.0
ruler_fwe_16k:0372,ruler_fwe_16k,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,33.33333333333333,33.33333333333333,0.0,0.0
ruler_fwe_16k:0373,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,33.333333333333336,0.0,0.0
ruler_fwe_16k:0386,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,33.333333333333336,0.0,0.0
ruler_fwe_16k:0402,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,33.333333333333336,0.0,0.0
ruler_fwe_16k:0472,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,33.333333333333336,0.0,0.0
ruler_fwe_16k:0478,ruler_fwe_16k,0.6666666666666666,1.0,0.8666666666666666,1.0,13.333333333333341,0.0,33.333333333333336,1.0
ruler_fwe_16k:0488,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,33.333333333333336,0.0,0.0
ruler_fwe_16k:0498,ruler_fwe_16k,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,33.333333333333336,33.333333333333336,0.0,0.0
ruler_niah_multikey_1_16k:0432,ruler_niah_multikey_1_16k,0.0,1.0,0.2,0.2,80.0,80.0,20.0,0.2
ruler_niah_multikey_2_16k:0045,ruler_niah_multikey_2_16k,0.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0
ruler_niah_multikey_2_16k:0116,ruler_niah_multikey_2_16k,0.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0
ruler_niah_multikey_2_16k:0331,ruler_niah_multikey_2_16k,0.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0
ruler_niah_multikey_2_16k:0482,ruler_niah_multikey_2_16k,0.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0
ruler_niah_multikey_3_16k:0071,ruler_niah_multikey_3_16k,0.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0
ruler_niah_multikey_3_16k:0074,ruler_niah_multikey_3_16k,0.0,1.0,0.6,0.2,40.0,80.0,20.0,0.2
ruler_niah_multikey_3_16k:0108,ruler_niah_multikey_3_16k,0.0,1.0,0.8,0.0,19.999999999999996,100.0,0.0,0.0
ruler_niah_multikey_3_16k:0138,ruler_niah_multikey_3_16k,0.0,1.0,0.8,0.2,19.999999999999996,80.0,20.0,0.2
ruler_niah_multikey_3_16k:0145,ruler_niah_multikey_3_16k,0.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0
ruler_niah_multikey_3_16k:0202,ruler_niah_multikey_3_16k,0.0,1.0,1.0,1.0,0.0,0.0,100.0,1.0
ruler_niah_multikey_3_16k:0208,ruler_niah_multikey_3_16k,0.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0
ruler_niah_multikey_3_16k:0212,ruler_niah_multikey_3_16k,0.0,1.0,0.0,0.6,100.0,40.0,60.0,0.6
