Action,Score,Delta_vs_OFF_PP
OFF,0.7721871794871795,0.0
L0,0.7714102564102564,-0.07769230769231195
L6,0.7730538461538462,0.08666666666666822
L12,0.7723307692307693,0.014358974358974486
L18,0.7721820512820513,-0.0005128205128213104
L24,0.7731769230769231,0.09897435897435747
ALL,0.7719589743589743,-0.022820512820520555
SAMPLE_BEST,0.7834589743589744,1.127179487179486
