Method,Score,Delta_OFF,Delta_SB
OFF,0.8324194444444445,0.0,-1.196111111111109
Best Single,0.833475,0.10555555555554763,-1.0905555555555613
ALL,0.8321222222222222,-0.0297222222222282,-1.225833333333337
Sample Best,0.8443805555555556,1.196111111111109,0.0
Dynamic LB,0.8595972222222222,2.7177777777777745,1.5216666666666656
