Reference,N,Mean reward,Delta vs Sample Best,Delta vs Native,R2 >= Native N,R2 = Native N,R2 < Native N,Notes,status
Sample Best,173,0.4048169556840077,0.0,-0.5277456647398844,,,,Same frozen conditional cohort,Formal source means; requested table differences POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
Native Dynamic,173,0.9325626204238922,0.5277456647398844,0.0,,,,Same frozen conditional cohort,Formal source means; requested table differences POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
Exact R2,173,0.8875722543352601,0.4827552986512524,-0.04499036608863205,160,160,13,Restricted gold-selected restricted hindsight selection,Formal source means; requested table differences POSTHOC_DERIVED_FROM_FROZEN_FORMAL_R2
