pair	phase	site_n	all_five_present	all_exact
V2_Z_ALL_f0fa1447f065.json	generation	70	True	True
V2_Z_ALL_f61d51bbefd5.json	full_chunk	75	True	True
V2_Z_ALL_f61d51bbefd5.json	tail	5	True	True
V2_Z_ALL_f61d51bbefd5.json	generation	70	True	True
V2_Z_ALL_f6ad03751407.json	full_chunk	75	True	True
V2_Z_ALL_f6ad03751407.json	tail	5	True	True
V2_Z_ALL_f6ad03751407.json	generation	175	True	True
V2_Z_NATIVE_177bea3115c3.json	full_chunk	70	True	True
V2_Z_NATIVE_177bea3115c3.json	tail	5	True	True
V2_Z_NATIVE_177bea3115c3.json	generation	20	True	True
V2_Z_NATIVE_1e44c98a1050.json	full_chunk	75	True	True
V2_Z_NATIVE_1e44c98a1050.json	tail	5	True	True
V2_Z_NATIVE_1e44c98a1050.json	generation	70	True	True
V2_Z_NATIVE_25c4622acc00.json	full_chunk	75	True	True
V2_Z_NATIVE_25c4622acc00.json	tail	5	True	True
V2_Z_NATIVE_25c4622acc00.json	generation	10	True	True
V2_Z_NATIVE_2d12e69b984d.json	full_chunk	75	True	True
V2_Z_NATIVE_2d12e69b984d.json	tail	5	True	True
V2_Z_NATIVE_2d12e69b984d.json	generation	70	True	True
V2_Z_NATIVE_42b57de524da.json	full_chunk	70	True	True
V2_Z_NATIVE_42b57de524da.json	tail	5	True	True
V2_Z_NATIVE_42b57de524da.json	generation	245	True	True
V2_Z_NATIVE_44c987a31f6c.json	full_chunk	75	True	True
V2_Z_NATIVE_44c987a31f6c.json	tail	5	True	True
V2_Z_NATIVE_44c987a31f6c.json	generation	175	True	True
V2_Z_NATIVE_493f8c7797fd.json	full_chunk	75	True	True
V2_Z_NATIVE_493f8c7797fd.json	tail	5	True	True
V2_Z_NATIVE_493f8c7797fd.json	generation	65	True	True
V2_Z_NATIVE_4e84444efa0a.json	full_chunk	75	True	True
V2_Z_NATIVE_4e84444efa0a.json	tail	5	True	True
V2_Z_NATIVE_4e84444efa0a.json	generation	65	True	True
V2_Z_NATIVE_5550d17ac96c.json	full_chunk	75	True	True
V2_Z_NATIVE_5550d17ac96c.json	tail	5	True	True
V2_Z_NATIVE_5550d17ac96c.json	generation	245	True	True
V2_Z_NATIVE_60d9d5a968fb.json	full_chunk	75	True	True
V2_Z_NATIVE_60d9d5a968fb.json	tail	5	True	True
V2_Z_NATIVE_60d9d5a968fb.json	generation	75	True	True
V2_Z_NATIVE_6a50e2cd300d.json	full_chunk	70	True	True
V2_Z_NATIVE_6a50e2cd300d.json	tail	5	True	True
V2_Z_NATIVE_6a50e2cd300d.json	generation	25	True	True
V2_Z_NATIVE_6ebac043b103.json	full_chunk	75	True	True
V2_Z_NATIVE_6ebac043b103.json	tail	5	True	True
V2_Z_NATIVE_6ebac043b103.json	generation	170	True	True
V2_Z_NATIVE_8341aa98d760.json	full_chunk	70	True	True
V2_Z_NATIVE_8341aa98d760.json	tail	5	True	True
V2_Z_NATIVE_8341aa98d760.json	generation	245	True	True
V2_Z_NATIVE_8d6e906d2bd7.json	full_chunk	75	True	True
V2_Z_NATIVE_8d6e906d2bd7.json	tail	5	True	True
V2_Z_NATIVE_8d6e906d2bd7.json	generation	245	True	True
V2_Z_NATIVE_8f6d8c27c648.json	full_chunk	75	True	True
V2_Z_NATIVE_8f6d8c27c648.json	tail	5	True	True
V2_Z_NATIVE_8f6d8c27c648.json	generation	70	True	True
V2_Z_NATIVE_92ec05d93b2b.json	full_chunk	75	True	True
V2_Z_NATIVE_92ec05d93b2b.json	tail	5	True	True
V2_Z_NATIVE_92ec05d93b2b.json	generation	175	True	True
V2_Z_NATIVE_95bda1229077.json	full_chunk	75	True	True
V2_Z_NATIVE_95bda1229077.json	tail	5	True	True
V2_Z_NATIVE_95bda1229077.json	generation	5	True	True
V2_Z_NATIVE_9fa741130981.json	full_chunk	70	True	True
