cohort	N	match_n	Native_mean	R2_mean
Native one switch	92	92	93.33333333333333	93.33333333333333
Native multiple switches	78	62	93.76068376068375	79.93589743589743
Multi-switch, full score	57	46	100.0	83.88888888888889
Multi-switch, below full score	21	16	76.82539682539684	69.20634920634922
