experiment	N	SampleBest_mean_if_available	Native_mean	Condition_mean	paired_effect_pp	CI_low	CI_high	decrease_n	equal_n	increase_n	cohort_manifest_hash
reverse	170	40.411764705882355	93.52941176470588	41.3235294117647	52.20588235294118	50.0	54.294117647058826	164	6	0	6a4ba835741eca78d5f3ac609da81cba3a6ad029c052e7bd755a31b5a0156369
reset	165	41.15151515151514	93.33333333333333	46.62626262626262	46.707070707070706	43.35353535353536	49.90909090909091	142	23	0	c2aebcfaa0f68b9518f81d847cc77e6ff7866e65dccb6d7962124116f07796ae
nontrivial_reset	157	41.16772823779193	93.24840764331209	44.16135881104034	49.08704883227176	46.12526539278131	51.825902335456476	142	15	0	781fe1479f37ac7047273337557742051b951fa4b29ba92fcfe97d47abc92e3e
deletion	157	41.16772823779193	93.24840764331209	54.30785562632695	38.94055201698513	35.167728237791934	42.579883227176204	135	22	0	781fe1479f37ac7047273337557742051b951fa4b29ba92fcfe97d47abc92e3e
sham	109	44.37308868501528	93.70030581039755	93.70030581039755	0.0	0.0	0.0	0	109	0	8ddd0a0368c93c513f2813ab41f0fb284550ba3bcb60d2aaaee34cb455d851a8
K0	165	41.15151515151514	93.33333333333333	78.77777777777777	14.555555555555555	10.535353535353536	18.767676767676768	47	118	0	c2aebcfaa0f68b9518f81d847cc77e6ff7866e65dccb6d7962124116f07796ae
K1	165	41.15151515151514	93.33333333333333	93.33333333333333	0.0	0.0	0.0	0	165	0	c2aebcfaa0f68b9518f81d847cc77e6ff7866e65dccb6d7962124116f07796ae
r2	170	40.411764705882355	93.52941176470588	87.18627450980391	6.343137254901962	3.4117647058823533	9.607843137254902	16	154	0	6a4ba835741eca78d5f3ac609da81cba3a6ad029c052e7bd755a31b5a0156369
